"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Z","roughness","detrended","aspect","slope","cumsum.wi"
"sand","detrended+roughness+Z",3527.73625463704,3574.5976188449,0.16862,NA,12.85,0,0,0,1,1,1,1,1,0,0,1
"inverts","detrended+roughness+Z",3390.61060147955,3437.51933631076,0.1768,NA,12.86,0,0,0,1,1,1,1,1,0,0,1
