"","site","method","dropcode","selected","lon","lat"
"1","Yardie","BRUV","B1","MBH",113.752156563064,-22.3017487080479
"2","Yardie","BRUV","B2","MBH",113.726490414598,-22.3453522935495
"3","Yardie","BRUV","B3","MBH",113.733542267564,-22.3337692902725
"4","Yardie","BRUV","B4","MBH",113.748269930896,-22.2980448053232
"5","Yardie","BRUV","B5","MBH",113.749061816515,-22.3038085225193
"6","Yardie","BRUV","B6","MBH",113.719273237007,-22.3584724233246
"7","Yardie","BRUV","B7","MBH",113.728855267013,-22.3372334090774
"8","Yardie","BRUV","B8","MBH",113.744805721274,-22.3168340933086
"9","Yardie","BRUV","B9","MBH",113.727236221439,-22.3487699375702
"10","Yardie","BRUV","B10","MBH",113.723311027572,-22.35650887181
"11","Yardie","BRUV","B11","MBH",113.740609818006,-22.313113850047
"12","Yardie","BRUV","B12","MBH",113.747857866257,-22.3116822352918
"13","Yardie","BRUV","B13","MBH",113.729415725593,-22.3419098345509
"14","Yardie","BRUV","B14","MBH",113.738093337387,-22.3233567005092
"15","Yardie","BRUV","B15","MBH",113.755816422904,-22.3019787599764
"16","Yardie","BRUV","B16","MBH",113.738437121805,-22.3310236846084
"17","yardie","PREF","B17","PREF",113.748573352512,-22.3150661070668
"18","yardie","PREF","B18","PREF",113.744614363544,-22.3212152572876
"19","yardie","PREF","B19","PREF",113.733608797327,-22.3401546757146
"20","yardie","PREF","B20","PREF",113.718333950412,-22.3368763372223
"21","yardie","PREF","B21","PREF",113.720971283567,-22.3313445469559
"22","yardie","PREF","B22","PREF",113.736933072803,-22.3328493547465
"23","yardie","PREF","B23","PREF",113.734208339534,-22.3062661638607
"24","yardie","PREF","B24","PREF",113.74828475421,-22.3079602502507
"25","yardie","PREF","B25","PREF",113.735425012359,-22.329979637908
"26","yardie","PREF","B26","PREF",113.722152457806,-22.3532978797229
"27","yardie","PREF","B27","PREF",113.73267428812,-22.3421639334702
"28","yardie","PREF","B28","PREF",113.735235821608,-22.3365599188252
"29","yardie","PREF","B29","PREF",113.731840830086,-22.3452626034494
"30","yardie","PREF","B30","PREF",113.737467586008,-22.3271300355118
"31","yardie","PREF","B31","PREF",113.740546197706,-22.3191067208042
"32","yardie","PREF","B32","PREF",113.742845943544,-22.3099922618787
"33","yardie","PREF","B33","PREF",113.747081437771,-22.3012662082046
"34","yardie","PREF","B34","PREF",113.717003754238,-22.3354757680801
