"","lon","lat","dropcode","selected"
"1",113.73403676187,-22.3392221768715,"S1","MBH"
"2",113.749363723858,-22.3117920985778,"S2","MBH"
"3",113.736771790432,-22.3177823950207,"S3","MBH"
"4",113.721938132736,-22.3457899773561,"S4","MBH"
"5",113.744892051477,-22.3138086553642,"S5","MBH"
"6",113.741180267386,-22.3100350848718,"S6","MBH"
"7",113.727974859379,-22.3418519438768,"S7","MBH"
"8",113.747265287175,-22.3086683084237,"S8","MBH"
"9",113.732386094101,-22.3366773913889,"S9","MBH"
"10",113.737698240353,-22.3279670572818,"S10","MBH"
"11",113.755271341973,-22.2989189296061,"S11","MBH"
"12",113.732099152824,-22.3443550470933,"S12","MBH"
"13",113.751300364566,-22.3066591125103,"S13","MBH"
"14",113.743258312343,-22.3121212260539,"S14","MBH"
"15",113.730945458336,-22.3324590739409,"S15","MBH"
"16",113.741953498564,-22.3198160936158,"S16","MBH"
"17",113.724430644198,-22.35170578441,"S17","MBH"
"18",113.725927702298,-22.3363800314511,"S18","MBH"
"19",113.739162963565,-22.3160268947357,"S19","MBH"
"20",113.746163138936,-22.3043992583152,"S20","MBH"
"21",113.735239961191,-22.3262934888149,"S21","MBH"
"22",113.752814318554,-22.2972907112734,"S22","MBH"
"23",113.750248506743,-22.3049618755294,"S23","MBH"
"24",113.743360739905,-22.3223197756537,"S24","MBH"
"25",113.748573352512,-22.3150661070668,"S25","PREF"
"26",113.744614363544,-22.3212152572876,"S26","PREF"
"27",113.733608797327,-22.3401546757146,"S27","PREF"
"28",113.718333950412,-22.3368763372223,"S28","PREF"
"29",113.720971283567,-22.3313445469559,"S29","PREF"
"30",113.736933072803,-22.3328493547465,"S30","PREF"
"31",113.734208339534,-22.3062661638607,"S31","PREF"
"32",113.74828475421,-22.3079602502507,"S32","PREF"
"33",113.735425012359,-22.329979637908,"S33","PREF"
"34",113.722152457806,-22.3532978797229,"S34","PREF"
"35",113.73267428812,-22.3421639334702,"S35","PREF"
"36",113.735235821608,-22.3365599188252,"S36","PREF"
"37",113.731840830086,-22.3452626034494,"S37","PREF"
"38",113.737467586008,-22.3271300355118,"S38","PREF"
"39",113.740546197706,-22.3191067208042,"S39","PREF"
"40",113.742845943544,-22.3099922618787,"S40","PREF"
"41",113.747081437771,-22.3012662082046,"S41","PREF"
"42",113.717003754238,-22.3354757680801,"S42","PREF"
