"campaignid","sample","family","genus","species"
"2022-05_PtCloates_stereo-BRUVS","29","Labridae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","29","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","29","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","3","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","3","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","30","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","30","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","31","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","32","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","32","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","33","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","34","Oneirodidae","Oneirodes","sp1"
"2022-05_PtCloates_stereo-BRUVS","34","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","35","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","35","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","35","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","36","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","37","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","37","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","39","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","4","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","4","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","40","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","41","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","42","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","42","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","43","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","43","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","43","Mullidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","44","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","44","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","44","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","46","Carcharhinidae","Carcharhinus","na"
"2022-05_PtCloates_stereo-BRUVS","46","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","48","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","5","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","5","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","50","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","51","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","51","Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS","51","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","51","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","52","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","52","Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS","54","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","54","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","56","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","58","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","58","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","59","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","59","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","59","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","6","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","6","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","60","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","60","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","62","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","64","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","64","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","8","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","8","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","9","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","9","Mullidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","9","Lethrinidae","Gymnocranius","sp1"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carcharhinidae","Unknown","sp10"
"2019-08_Ningaloo_stereo-BRUVs","10.12","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","10.12","Muraenidae","Gymnothorax","sp5"
"2019-08_Ningaloo_stereo-BRUVs","12.05","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","12.11","Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs","12.11","Priacanthidae","Priacanthus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","16.02","Muraenidae","Gymnothorax","sp1"
"2019-08_Ningaloo_stereo-BRUVs","16.03","Carcharhinidae","Unknown","sp10"
"2019-08_Ningaloo_stereo-BRUVs","18.04","Muraenidae","Gymnothorax","prionodon"
"2019-08_Ningaloo_stereo-BRUVs","18.04","Muraenidae","Gymnothorax","sp3"
"2019-08_Ningaloo_stereo-BRUVs","2.03","Synodontidae","Synodus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","3.03","Callionymidae","Unknown","sp1"
"2019-08_Ningaloo_stereo-BRUVs","31.06","Muraenidae","Uropterygius","concolor"
"2019-08_Ningaloo_stereo-BRUVs","4.03","Priacanthidae","Priacanthus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","4.03","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.03","Pinguipedidae","Parapercis","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.03","Muraenidae","Gymnothorax","sp4"
"2019-08_Ningaloo_stereo-BRUVs","4.11","Malacanthidae","Hoplolatilus","sp1"
"2019-08_Ningaloo_stereo-BRUVs","5.02","Blenniidae","Unknown","sp1"
"2019-08_Ningaloo_stereo-BRUVs","7.02","Gobiidae","Amblyeleotris","sp10"
"2019-08_Ningaloo_stereo-BRUVs","8.02","Scaridae","Scarus","sp3"
"2019-08_Ningaloo_stereo-BRUVs","9.08","Muraenidae","Gymnothorax","sp1"
"2022-05_PtCloates_stereo-BRUVS","11","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","23","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","24","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","26","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","27","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","28","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","28","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","29","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","29","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","3","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","30","Carangidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","31","Scaridae","Scarus","sp3"
"2022-05_PtCloates_stereo-BRUVS","32","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","36","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","36","Mullidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","37","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","40","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","40","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","40","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","41","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","43","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","43","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","46","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","48","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","5","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","51","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","51","Labridae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","56","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","57","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","57","Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS","6","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","64","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","7","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","7","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","7","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","9","NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","9","SUS","SUS","sus"
