"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Stegostomatidae","Stegostoma","fasciatum",170.428,170.428,170.428,177.82,177.82,177.82
"Carcharhinidae","Galeocerdo","cuvier",98.503,124.197,72.81,194.11,211.38,228.66
"Carcharhinidae","Carcharhinus","na",61.766,61.766,61.766,178.11,178.11,178.11
"Sphyrnidae","Sphyrna","lewini",57,76.117,37.884,149.63,168.34,187.06
"Serranidae","Epinephelus","coioides",25.508,38.69,3.957,59.17,102.45,126.84
"Rhinidae","Rhynchobatus","australiae",21.086,21.086,21.086,144,144,144
"Carcharhinidae","Carcharhinus","plumbeus",16.4,27.414,7.698,87.47,110.62,133.36
"Serranidae","Epinephelus","tukula",14.173,18.715,10.14,87.06,98.49,110.6
"Sphyraenidae","Sphyraena","jello",14.121,14.121,14.121,114.68,114.68,114.68
"Carcharhinidae","Carcharhinus","limbatus",12.991,12.991,12.991,108.4,108.4,108.4
"Carcharhinidae","Carcharhinus","albimarginatus",10.847,49.29,2.688,61.15,86.21,156.29
"Rhynchobatidae","Rhynchobatus","laevis",10.672,12.543,8.801,108.83,115.37,121.91
"Scombridae","Scomberomorus","commerson",9.272,17.744,0.8,49.26,89.11,128.97
"Lutjanidae","Aprion","virescens",7.626,7.626,7.626,80.9,80.9,80.9
"Carcharhinidae","Carcharhinus","spp",6.809,6.809,6.809,87.98,87.98,87.98
"Carangidae","Caranx","sexfasciatus",6.199,6.199,6.199,68.09,68.09,68.09
"Serranidae","Epinephelus","multinotatus",6.154,10.015,3.357,61.55,74.1,89
"Scombridae","Scomberomorus","spp",6.129,17.855,0.509,32.47,69.67,107.2
"Rachycentridae","Rachycentron","canadum",5.965,5.965,5.965,76.06,76.06,76.06
"Orectolobidae","Orectolobus","sp1",5.754,5.754,5.754,94.96,94.96,94.96
"Ariidae","Netuma","thalassina",5.688,6.696,4.134,59.56,67.44,72.42
"Carangidae","Caranx","ignobilis",5.425,8.923,1.069,37.29,60.8,74.17
"Lethrinidae","Lethrinus","olivaceus",5.141,8.187,1.045,39.5,64.85,81.32
"Carangidae","Seriola","dumerili",4.957,15.407,0.613,29.64,57.28,93.77
"Serranidae","Plectropomus","spp",4.915,6.801,3.58,60.09,66.07,73.98
"Carcharhinidae","Triaenodon","obesus",4.753,4.753,4.753,83.26,83.26,83.26
"Lutjanidae","Aphareus","rutilans",4.52,5.862,2.707,58.6,70.26,77.46
