"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2019-08_Ningaloo_stereo-BRUVs","1.01","Carangidae","Carangoides","chrysophrys",619.21661,108,612,720,"too big",7.21660999999995,86.0023069444444
"2019-08_Ningaloo_stereo-BRUVs","1.04","Labridae","Bodianus","solatus",338.18597,52.5,297.5,350,"too big",40.68597,96.6245628571429
"2019-08_Ningaloo_stereo-BRUVs","1.04","Labridae","Bodianus","solatus",348.61944,52.5,297.5,350,"too big",51.11944,99.6055542857143
"2019-08_Ningaloo_stereo-BRUVs","1.06","Labridae","Bodianus","solatus",346.02537,52.5,297.5,350,"too big",48.52537,98.8643914285714
"2019-08_Ningaloo_stereo-BRUVs","1.06","Triakidae","Mustelus","ravidus",668.85072,102.45,580.55,683,"too big",88.3007200000001,97.9283631039532
"2019-08_Ningaloo_stereo-BRUVs","1.06","Tetraodontidae","Lagocephalus","lunaris",415.39055,67.5,382.5,450,"too big",32.89055,92.3090111111111
"2019-08_Ningaloo_stereo-BRUVs","1.06","Synodontidae","Saurida","undosquamis",494.16868,75,425,500,"too big",69.16868,98.833736
"2019-08_Ningaloo_stereo-BRUVs","10.02","Labridae","Bodianus","solatus",309.28818,52.5,297.5,350,"too big",11.78818,88.3680514285714
"2019-08_Ningaloo_stereo-BRUVs","10.03","Lutjanidae","Lutjanus","vitta",341.10921,60,340,400,"too big",1.10921000000002,85.2773025
"2019-08_Ningaloo_stereo-BRUVs","10.03","Chaetodontidae","Heniochus","diphreutes",203.03782,31.5,178.5,210,"too big",24.53782,96.6846761904762
"2019-08_Ningaloo_stereo-BRUVs","10.03","Chaetodontidae","Heniochus","diphreutes",200.02367,31.5,178.5,210,"too big",21.52367,95.2493666666667
"2019-08_Ningaloo_stereo-BRUVs","10.03","Chaetodontidae","Heniochus","diphreutes",207.08217,31.5,178.5,210,"too big",28.58217,98.6105571428571
"2019-08_Ningaloo_stereo-BRUVs","10.03","Pomacanthidae","Pomacanthus","semicirculatus",352.82597,60,340,400,"too big",12.82597,88.2064925
