"Statistic","Fold-1","Fold-2","Fold-3","Fold-4","Fold-5","Mean"
"OOB error",0.276656809233847,0.313960212598836,0.277683429575555,0.196390868783477,0.254146182755329,0.263767500589409
"Kappa (training)",0.765625,0.729591836734694,0.768924302788845,0.839449541284404,0.784140969162996,0.777546329994187
"Test error",0.220838709677419,0.204175824175824,0.274583333333333,0.48963768115942,0.231466666666667,0.284140443002533
"Kappa (testing)",0.774193548387097,0.791208791208791,0.75,0.507246376811594,0.766666666666667,0.71786307661483
