"Statistic","Fold-1","Fold-2","Fold-3","Fold-4","Fold-5","Mean"
"OOB error",0.311660084521303,0.265495380322712,0.280708429165279,0.306719026507295,0.307717603373986,0.294460104778115
"Kappa (training)",0.711864406779661,0.734299516908213,0.758064516129032,0.722943722943723,0.702127659574468,0.725859964467019
"Test error",0.268353658536585,0.44175,0.342438356164384,0.184035714285714,0.126333333333333,0.272582212464003
"Kappa (testing)",0.731707317073171,0.557692307692308,0.657534246575342,0.821428571428571,0.875,0.728672488553878
