Network scale,Marine park,Zone,lon_w,lon_e,lat_s,lat_n
NW,NW,NW,109.48,130.01,-25.5,-9.97
NW,Montebello,Montebello,114.832,116.118,-20.985,-19.744
NW,Ningaloo,Ningaloo,113.266,114.511,-24.102,-21.62
NW,Ningaloo,Pt Cloates,113.369,113.791,-22.939,-22.529
SW,SW,SW,109.19,137.37,-40.35,-24.06
SW,Abrolhos,Abrolhos,113,114.408,-29.312,-26.687
SW,Abrolhos,Big Bank,112.903,113.402,-27.302,-26.991
SW,Abrolhos,Shallow Bank,113.112,113.666,-28.238,-27.916
SW,SW Capes,SW Capes,114.353,115.723,-34.618,-33.479
SW,SW Capes,NPZ off Contos,114.171,115.06,-34.327,-33.894
