"campaignid","sample","broad.bryozoa.","broad.bryozoa.bryozoa.cnidaria.matrix.","broad.consolidated.rock.no.biota","broad.consolidated.rock.veneer","broad.crinoids.","broad.hydrocoral.branching.","broad.hydroids.","broad.invertebrate.complex.","broad.invertebrate.complex.complex.1.","broad.octocoral.black.branching.3d.","broad.octocoral.black.fan.2d.","broad.octocoral.black.organ.pipe.coral.","broad.octocoral.black.small.mixed.","broad.octocoral.black.unknown.","broad.octocoral.black.whip.","broad.sponges.crusts.","broad.sponges.erect.forms.","broad.sponges.hollow.forms.","broad.sponges.massive.forms.","broad.sponges.small.mixed.","broad.sponges.unknown.","broad.unconsolidated.pebble.gravel.biogenic.","broad.unconsolidated.pebble.gravel.gravel.2.10mm.","broad.unconsolidated.pebble.gravel.pebble.10.64mm.","broad.unconsolidated.sand.mud.coarse.sand.","broad.unconsolidated.sand.mud.fine.sand.","broad.unconsolidated.unknown.","broad.total.points.annotated"
"2019-08_Ningaloo_stereo-BRUVs","13.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
"2019-08_Ningaloo_stereo-BRUVs","13.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,21
"2019-08_Ningaloo_stereo-BRUVs","13.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,20
"2019-08_Ningaloo_stereo-BRUVs","13.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,20
"2019-08_Ningaloo_stereo-BRUVs","14.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,20,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","14.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","14.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","14.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23
"2019-08_Ningaloo_stereo-BRUVs","14.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","14.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","14.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,22
"2019-08_Ningaloo_stereo-BRUVs","15.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
"2019-08_Ningaloo_stereo-BRUVs","15.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,22
"2019-08_Ningaloo_stereo-BRUVs","15.05",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,0,26
"2019-08_Ningaloo_stereo-BRUVs","15.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","15.12",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,0,15
"2019-08_Ningaloo_stereo-BRUVs","16.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","16.02",2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,4,0,22
"2019-08_Ningaloo_stereo-BRUVs","16.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","16.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","16.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,0,26
"2019-08_Ningaloo_stereo-BRUVs","17.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
"2019-08_Ningaloo_stereo-BRUVs","18.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
"2019-08_Ningaloo_stereo-BRUVs","18.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
"2019-08_Ningaloo_stereo-BRUVs","18.03",0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,26
"2019-08_Ningaloo_stereo-BRUVs","18.04",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,9,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","18.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
"2019-08_Ningaloo_stereo-BRUVs","18.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","19.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19
"2019-08_Ningaloo_stereo-BRUVs","19.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","19.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","19.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23
"2019-08_Ningaloo_stereo-BRUVs","19.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","19.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","2.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
"2019-08_Ningaloo_stereo-BRUVs","2.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","2.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,26
"2019-08_Ningaloo_stereo-BRUVs","2.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,20,0,26
"2019-08_Ningaloo_stereo-BRUVs","2.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
"2019-08_Ningaloo_stereo-BRUVs","2.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","23.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
"2019-08_Ningaloo_stereo-BRUVs","23.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","23.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
"2019-08_Ningaloo_stereo-BRUVs","23.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","23.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"2019-08_Ningaloo_stereo-BRUVs","23.09",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,23
"2019-08_Ningaloo_stereo-BRUVs","3.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","3.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","3.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","3.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","3.05",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,22
