"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","7.01","-22.73427585","113.5509445","14082019","08:24:00","Ningaloo Marine Park",NA,"7","85","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.02","-22.7317466","113.5533202","14082019","08:21:00","Ningaloo Marine Park",NA,"7","84","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.03","-22.72507859","113.5554582","14082019","08:16:00","Ningaloo Marine Park",NA,"7","82","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.04","-22.72760784","113.5630603","14082019","08:13:00","Ningaloo Marine Park",NA,"7","75","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.05","-22.72875749","113.5732756","14082019","08:08:00","Ningaloo Marine Park",NA,"7","72","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.08","-22.73059695","113.5756513","14082019","08:03:00","Ningaloo Marine Park",NA,"7","72","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.01","-22.71266228","113.5497567","14082019","10:00:00","Ningaloo Marine Park",NA,"8","87","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.02","-22.70277523","113.5559334","14082019","10:06:00","Ningaloo Marine Park",NA,"8","76","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.05","-22.7017","113.57994","14082019","10:31:00","Ningaloo Marine Park",NA,"8","63","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.06","-22.69621","113.58157","14082019","10:27:00","Ningaloo Marine Park",NA,"8","61","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.07","-22.69542","113.57783","14082019","10:23:00","Ningaloo Marine Park",NA,"8","63","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.12","-22.69932625","113.547381","14082019","10:11:00","Ningaloo Marine Park",NA,"8","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.01","-22.70139564","113.5359779","13082019","11:16:00","Ningaloo Marine Park",NA,"9","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.02","-22.7025453","113.5214865","13082019","11:00:00","Ningaloo Marine Park",NA,"9","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.05","-22.69150858","113.5248124","13082019","11:05:00","Ningaloo Marine Park",NA,"9","?","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","9.06","-22.6931181","113.5319393","13082019","11:10:00","Ningaloo Marine Park",NA,"9","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.07","-22.71082283","113.5255251","13082019","10:52:00","Ningaloo Marine Park",NA,"9","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.08","-22.71220242","113.5136468","13082019","10:45:00","Ningaloo Marine Park",NA,"9","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.01","-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.02","-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.03","-22.66874535","113.5628228","14082019","12:24:00","Ningaloo Marine Park",NA,"10","88","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.04","-22.6669059","113.5518948","14082019","12:33:00","Ningaloo Marine Park",NA,"10","110","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.07","-22.67311405","113.5400165","14082019","12:40:00","Ningaloo Marine Park",NA,"10","138","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","10.08","-22.67035488","113.5383536","14082019","12:46:00","Ningaloo Marine Park",NA,"10","157","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","10.09","-22.62918","113.55942","14082019","14:34:00","Ningaloo Marine Park",NA,"10","160","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.11","-22.61773","113.5636","14082019","14:41:00","Ningaloo Marine Park",NA,"10","160","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.12","-22.59615","113.57775","14082019","15:20:00","Ningaloo Marine Park",NA,"10","136","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.13","-22.638","113.579","14082019","14:53:00","Ningaloo Marine Park",NA,"10","78","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.14","-22.624","113.5916667","14082019","15:02:00","Ningaloo Marine Park",NA,"10","74","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.15","-22.6058333","113.594","14082019","15:10:00","Ningaloo Marine Park",NA,"10","84","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","11.01","-22.54044354","113.6215013","15082019","08:06:00","Ningaloo Marine Park",NA,"11","84","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","11.02","-22.5365347","113.6248272","15082019","08:11:00","Ningaloo Marine Park",NA,"11","81","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","11.03","-22.53377552","113.6274404","15082019","08:15:00","Ningaloo Marine Park",NA,"11","79","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","11.04","-22.52871703","113.6243521","15082019","08:19:00","Ningaloo Marine Park",NA,"11","91","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","11.05","-22.52618778","113.6255399","15082019","08:25:00","Ningaloo Marine Park",NA,"11","91","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","11.06","-22.52388847","113.6345674","15082019","08:31:00","Ningaloo Marine Park",NA,"11","77","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","12.02","-22.46724","113.67504","15082019","10:37:00","Ningaloo Marine Park",NA,"12","56","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","12.03","-22.46824503","113.6678265","15082019","10:44:00","Ningaloo Marine Park",NA,"12","65","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","12.04","-22.46433619","113.6687767","15082019","10:48:00","Ningaloo Marine Park",NA,"12","70","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","12.05","-22.4673253","113.6599868","15082019","10:29:00","Ningaloo Marine Park",NA,"12","86","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","12.06","-22.46548585","113.6573736","15082019","10:25:00","Ningaloo Marine Park",NA,"12","94","Charlotte Aston","No","No"
"2019-08_Ningaloo_stereo-BRUVs","12.11","-22.48475","113.64333","15082019","10:14:00","Ningaloo Marine Park",NA,"12","100","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.02","-22.40386419","113.7058369","15082019","12:32:00","Ningaloo Marine Park",NA,"13","69","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.03","-22.39903562","113.7013231","15082019","12:52:00","Ningaloo Marine Park",NA,"13","83","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.04","-22.39765604","113.6972845","15082019","12:48:00","Ningaloo Marine Park",NA,"13","92","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.05","-22.40087508","113.6932459","15082019","12:43:00","Ningaloo Marine Park",NA,"13","96","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.06","-22.40478391","113.6922957","15082019","12:39:00","Ningaloo Marine Park",NA,"13","94.5","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","13.08","-22.39328734","113.7039364","15082019","12:56:00","Ningaloo Marine Park",NA,"13","85","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","14.01","-22.32524","113.72408","15082019","14:46:00","Ningaloo Marine Park",NA,"14","96","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","14.02","-22.30284","113.73251","15082019","15:12:00","Ningaloo Marine Park",NA,"14","101","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","14.03","-22.27651","113.74266","15082019","15:25:00","Ningaloo Marine Park",NA,"14","109","Charlote Aston","No","No"
