"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"1.01","0","1.01_L373.avi","13332","1.01_R374.avi","13123","1","0.04400",60.32225,"0.82431","3.71427","1252.18427","17.35019","12.77054","12.10710","250.08068","-277.30597","-1195.20982","Labridae","Coris","caudimacula","37384092",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","1","1.01_L373.avi","19445","1.01_R374.avi","19236","1","4.11933",119.44867,"9.56944","6.22461","3114.31732","8.95070","43.25408","2.87531","437.61158","-208.02616","-3076.39295","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","2","1.01_L373.avi","19611","1.01_R374.avi","19402","1","4.23000",65.15812,"5.31176","8.01058","3187.04998","5.31806","20.20898","5.52882","216.48200","-200.97457","-3173.33143","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","3","1.01_L373.avi","30920","1.01_R374.avi","30711","1","11.76933",62.92525,"1.63398","6.15789","2932.18663","4.89256","0.97711","1.35436","209.68992","-136.27047","-2921.50286","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","4","1.01_L373.avi","30950","1.01_R374.avi","30741","1","11.78933",48.98342,"2.34212","8.06669","3475.24017","4.23288","3.88629","2.39642","-250.19782","-56.55075","-3465.76071","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","5","1.01_L373.avi","30990","1.01_R374.avi","30781","1","11.81600",47.72524,"4.42830","5.48046","2690.45092","4.52154","24.46197","12.79956","-81.60181","-195.77284","-2682.07761","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","6","1.01_L373.avi","30992","1.01_R374.avi","30783","1","11.81733",72.02381,"2.04294","9.13008","2613.11607","7.93265","7.39631","15.08529","-317.05020","-171.85906","-2588.11113","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","8","1.01_L373.avi","30993","1.01_R374.avi","30784","1","11.81800",68.8576,"5.34656","5.39486","2692.66730","6.33902","29.45304","1.85240","-262.35650","-139.84580","-2676.20429","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","9","1.01_L373.avi","30993","1.01_R374.avi","30784","1","11.81800",60.03917,"2.07968","6.38590","2814.72281","3.85180","7.47648","0.10766","-145.51206","-120.73993","-2808.36476","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","10","1.01_L373.avi","31011","1.01_R374.avi","30802","1","11.83000",40.72928,"1.32940","6.22021","2570.47128","4.31078","2.84428","3.04985","62.62806","-182.78131","-2563.19943","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","12","1.01_L373.avi","36388","1.01_R374.avi","36179","1","15.41467",619.21661,"7.27595","8.28405","4988.00934","11.50307","2.95292","7.98286","-976.47276","189.60712","-4887.82030","Carangidae","Carangoides","chrysophrys","37337011",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","13","1.01_L373.avi","49987","1.01_R374.avi","49778","1","24.48067",329.9371,"2.76271","2.86982","2650.36470","18.18597","0.48794","13.97304","799.38257","212.65508","-2517.97505","Carangidae","Decapterus","spp",NA,1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","17","1.01_L373.avi","59117","1.01_R374.avi","58908","1","30.56733",405.07652,"7.84998","3.70546","4895.56544","14.01577","0.04971","3.20400","1185.62742","7.62033","-4749.82005","Carangidae","Gnathanodon","speciosus","37337012",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","18","1.01_L373.avi","64389","1.01_R374.avi","64180","1","34.08200",303.99529,"3.82580","5.75788","3649.38230","9.79981","5.58473","8.48840","596.57179","-172.99323","-3596.13217","Balistidae","Abalistes","stellatus","37465011",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","19","1.01_L373.avi","94172","1.01_R374.avi","93963","1","53.93733",590.07547,"1.45592","9.20678","2350.82963","6.83489","1.73659","14.92920","59.51596","273.36537","-2334.12278","Tetraodontidae","Lagocephalus","sceleratus","37467007",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","20","1.01_L373.avi","94183","1.01_R374.avi","93974","1","53.94467",290.53383,"1.29180","2.90900","1755.05893","13.25580","6.24922","18.27303","-397.01392","65.82037","-1708.29724","Sparidae","Argyrops","spinifer","37353006",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","21","1.01_L373.avi","94263","1.01_R374.avi","94054","1","53.99800",569.79005,"8.14420","5.88517","3410.77964","9.51794","28.57362","6.63701","366.38020","428.78302","-3363.82645","Tetraodontidae","Lagocephalus","sceleratus","37467007",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","22","1.01_L373.avi","94588","1.01_R374.avi","94379","1","54.21467",373.09115,"2.26463","4.74973","1800.19550","13.72957","25.40505","4.65506","-382.37454","-190.62703","-1748.75810","Synodontidae","Saurida","undosquamis","37118001",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.01","23","1.01_L373.avi","94717","1.01_R374.avi","94508","1","54.30067",356.29484,"3.37995","10.15322","3311.08960","12.02837","1.85401","3.20147","672.90550","-152.71686","-3238.39313","Synodontidae","Saurida","undosquamis","37118001",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.02","0","1.02_L369.avi","20663","1.02_R370.avi","20769","1","2.73867",61.5469,"1.19976","1.83740","1747.55284","8.95182","10.98706","17.86692","144.78663","-230.17514","-1726.26683","Microdesmidae","Gunnellichthys","monostigma","37435004",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.85016136","113.5252875","12082019","09:35:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.02","1","1.02_L369.avi","30682","1.02_R370.avi","30788","1","9.41800",407.51415,"2.27288","3.42892","2873.11773","6.52159","5.60254","0.21799","-324.93457","-30.05486","-2854.52618","Synodontidae","Saurida","undosquamis","37118001",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.85016136","113.5252875","12082019","09:35:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"1.02","3","1.02_L369.avi","51970","1.02_R370.avi","52076","1","23.61000",392.78384,"2.77043","2.67325","2076.28049","16.11915","23.79237","3.03511","-568.17237","97.33670","-1994.65445","Lethrinidae","Gymnocranius","grandoculis","37351005",1,"AD","Passing",NA,NA,"2019-08_Ningaloo_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-22.85016136","113.5252875","12082019","09:35:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
