Scientific name,Common name
Abalistes filamentosus,Hairfin triggerfish
Abalistes stellatus,Starry triggerfish
Acanthurus grammoptilus,Inshore surgeonfish
Acanthurus mata,Pale surgeonfish
Albula argentea,Pacific bonefish
Aluterus monoceros,Unicorn leatherjacket
Amblyeleotris sp10,Unidentified shrimpgobies
Aphareus furca,Smalltooth jobfish
Aphareus rutilans,Rusty jobfish
Apolemichthys trimaculatus,Threespot angelfish
Aprion virescens,Green jobfish
Argyrops spinifer,Frypan bream
Arothron stellatus,Starry puffer
Bodianus bilunulatus,Saddleback pigfish
Bodianus solatus,Sunburnt pigfish
Caesio cuning,Yellowtail fusilier
Caesio teres,Blue fusilier
Canthigaster rivulata,Ocellate toby
Carangoides caeruleopinnatus,Onion trevally
Carangoides chrysophrys,Longnose trevally
Carangoides equula,Whitefin trevally
Carangoides fulvoguttatus,Turrum
Carangoides gymnostethus,Bludger trevally
Carangoides spp,Undifferentiated trevally
Caranx ignobilis,Giant trevally
Caranx lugubris,Black trevally
Caranx papuensis,Brassy trevally
Caranx sexfasciatus,Bigeye trevally
Carcharhinus albimarginatus,Silvertip shark
Carcharhinus limbatus,Common blacktip shark
Carcharhinus plumbeus,Sandbar shark
Carcharhinus spp,Undifferentiated whaler sharks
Carcharhinus tilstoni,Australian blacktip shark
Cephalopholis sonnerati,Tomato rockcod
Cephalopholis spiloparaea,Strawberry rockcod
Chaetodon assarius,Western butterflyfish
Chaetodontoplus personifer,Yellowtail angelfish
Cheilodipterus quinquelineatus,Fiveline cardinalfish
Choerodon cauteroma,Bluespotted tuskfish
Choerodon jordani,Dagger tuskfish
Choerodon albofasciatus,Whitestrip Tuskfish
Choerodon vitta,Redstripe tuskfish
Choerodon zamboangae,Eyebrow tuskfish
Chrysophrys auratus,Pink snapper
Cirrhitichthys aprinus,Blotched hawkfish
Cirrhitichthys falco,Dwarf hawkfish
Conger spp,Undifferentiated conger eels
Coradion chrysozonus,Orangebanded coralfish
Coris caudimacula,Spot-tail wrasse
Cyprinocirrhites polyactis,Lyretail hawkfish
Decapterus muroadsi,Temperate scad
Decapterus spp,Undifferentiated scad
Dentex carpenteri,Yellow snout seabream
Diagramma pictum labiosum,Painted sweetlips
Diproctacanthus xanthurus,Yellowtail wrasse
Echeneis naucrates,Sharksucker
Elagatis bipinnulata,Rainbow runner
Epinephelus areolatus,Yellowspotted rockcod
Epinephelus coioides,Goldspotted rockcod
Epinephelus morrhua,Comet grouper
Epinephelus multinotatus,Rankin cod
Epinephelus rivulatus,Chinaman rockcod
Epinephelus spp,Undifferentiated grouper
Epinephelus tukula,Potato rockcod
Eubalichthys caeruleoguttatus,Bluespotted leatherjacket
Fistularia commersonii,Smooth flutemouth
Galeocerdo cuvier,Tiger shark
Genicanthus lamarck,Lamarck's angelfish
Glaucosoma buergeri,Northern pearl perch
Gnathanodon speciosus,Golden trevally
Gunnellichthys monostigma,Onespot wormfish
Gymnocranius euanus,Paddletail seabream
Gymnocranius grandoculis,Robinson's seabream
Gymnocranius griseus,Grey seabream
Gymnocranius sp1,Undifferentiated seabream
Gymnothorax nudivomer,Yellowmouth moray
Gymnothorax prionodon,Sawtooth moray
Gymnothorax pseudothyrsoideus,Highfin moray
Gymnothorax sp1,Unidentified moray eels
Gymnothorax sp3,Unidentified moray eels
Gymnothorax sp4,Unidentified moray eels
Gymnothorax sp8,Unidentified moray eels
Gymnothorax thyrsoideus,Greyface moray
Gymnothorax undulatus,Undulate moray
Hemitriakis falcata,Sicklefin houndshark
Heniochus acuminatus,Longfin bannerfish
Heniochus diphreutes,Schooling bannerfish
Heteroconger hassi,Spotted Garden Eel
Hoplolatilus sp1,Unidentified Tilefish
Hypogaleus hyugaensis,Pencil shark
Labroides dimidiatus,Common cleanerfish
Lagocephalus lunaris,Rough golden toadfish
Lagocephalus sceleratus,Silver toadfish
Lethrinus miniatus,Redthroat emperor
Lethrinus nebulosus,Spangled emperor
Lethrinus olivaceus,Longnose emperor
Lethrinus punctulatus,Bluespotted emperor
Lethrinus ravus,Drab emperor
Lethrinus rubrioperculatus,Spotcheek emperor
Lethrinus spp,Undifferentiated Emperor
Loxodon macrorhinus,Sliteye shark
Lutjanus gibbus,Paddletail
Lutjanus lemniscatus,Darktail snapper
