"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Pinguipedidae","Parapercis","nebulosa",65.15812,3187.04998,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Sparidae","Argyrops","spinifer",290.53383,1755.05893,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Synodontidae","Saurida","undosquamis",373.09115,1800.1955,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Synodontidae","Saurida","undosquamis",356.29484,3311.0896,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Tetraodontidae","Lagocephalus","sceleratus",590.07547,2350.82963,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.01","2019-08_Ningaloo_stereo-BRUVs",1.01,"Tetraodontidae","Lagocephalus","sceleratus",569.79005,3410.77964,-22.84786205,113.5404917,12082019,09:23:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Carangidae","Carangoides","chrysophrys",408.34856,1926.36764,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Carangidae","Carangoides","chrysophrys",362.28865,1896.98773,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Lethrinidae","Gymnocranius","grandoculis",392.78384,2076.28049,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Lethrinidae","Gymnocranius","grandoculis",350.85673,2134.89692,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",463.4905,1082.30044,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",543.769,1711.45622,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",493.37999,2644.96922,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Microdesmidae","Gunnellichthys","monostigma",61.5469,1747.55284,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",201.79458,3893.19901,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",283.4247,1640.8325,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",280.95295,1355.79571,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",303.78851,1047.88938,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",281.54962,1755.08689,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.02","2019-08_Ningaloo_stereo-BRUVs",1.02,"Synodontidae","Saurida","undosquamis",407.51415,2873.11773,-22.85016136,113.5252875,12082019,09:35:00,"Ningaloo Marine Park","NA",1,"?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Balistidae","Abalistes","filamentosus",315.71629,3285.09546,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Carangoides","chrysophrys",405.91273,2563.73996,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Decapterus","spp",468.83121,2594.6651,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","dumerili",348.14867,2363.25835,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","rivoliana",323.03361,2529.45731,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","rivoliana",313.12212,2088.37183,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Echeneidae","Echeneis","naucrates",215.98898,2447.95299,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Gymnocranius","grandoculis",370.06287,2145.52476,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",463.54905,1616.76582,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",409.21426,2071.95791,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",481.64403,2762.40322,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",330.96619,2831.22709,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",365.24805,2397.9728,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lutjanidae","Pristipomoides","filamentosus",597.91033,1844.15232,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Lutjanidae","Pristipomoides","multidens",395.52297,5988.04826,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.03","2019-08_Ningaloo_stereo-BRUVs",1.03,"Mullidae","Parupeneus","spilurus",348.78358,4285.08894,-22.84437,113.51304,12082019,09:43:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Balistidae","Abalistes","filamentosus",274.45492,3029.31809,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Carangoides","chrysophrys",531.56468,3003.06869,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
