"","x","y","inclusion.probabilities","ID","x.1","y.1","xy"
"1",783105,7531135,5.32919328317387e-05,257253,113.747819593196,-22.3022950287485,TRUE
"2",781935,7528695,0.000219491106576494,841643,113.736902977324,-22.3245051683003,TRUE
"3",781190,7525150,4.97328688038485e-05,1690876,113.730300415958,-22.3566167637203,TRUE
"4",780350,7525580,0.000215932042548604,1587680,113.722075807124,-22.3528737681554,TRUE
"5",781095,7526870,0.000163234271394338,1278745,113.72907633798,-22.3411112321067,TRUE
"6",782405,7529555,0.000219491106576494,635681,113.741309851526,-22.3166676014146,TRUE
"7",780910,7524720,0.000102430049498459,1793848,113.72765963673,-22.3605428444652,TRUE
"8",781655,7528590,0.000102430049498459,866745,113.73420570608,-22.3254985335771,TRUE
"9",783035,7529700,0.000105988818296521,601065,113.747394266358,-22.3152556732342,TRUE
"10",783880,7530775,0.000166793335422228,343664,113.755398862675,-22.3054160205322,TRUE
"11",782150,7526690,4.97328688038485e-05,1322084,113.739341854899,-22.3425626944691,TRUE
"12",781400,7525725,4.97328688038485e-05,1553148,113.732236450644,-22.3513936597199,TRUE
"13",783455,7529915,5.32916376019107e-05,549635,113.75142952016,-22.3132464565606,TRUE
"14",781585,7528305,0.000130805769183366,935017,113.733576903252,-22.3280817961535,TRUE
"15",781305,7527060,0.000163234271394338,1233263,113.73107997908,-22.3393623454799,TRUE
"16",782465,7528460,4.97325735740205e-05,898055,113.742084946922,-22.3265388359761,TRUE
"17",780595,7524910,0.000163234271394338,1748261,113.724570241278,-22.3588797943884,TRUE
"18",784335,7531680,8.1667652516646e-05,126917,113.759650732085,-22.2971745077351,TRUE
"19",780780,7526630,0.000130805769183366,1336186,113.726062880132,-22.3433284481782,TRUE
"20",782185,7528890,0.000166793335422228,794971,113.739293372243,-22.3227045368016,TRUE
"21",782930,7530180,8.1667652516646e-05,486036,113.746291156045,-22.3109415137139,TRUE
"22",781760,7527740,0.000163234271394338,1070426,113.735373771602,-22.3331516215,TRUE
"23",783630,7530965,8.1667652516646e-05,298090,113.75294083046,-22.3037426982011,TRUE
"24",781480,7527635,0.000163234271394338,1095528,113.732676327107,-22.334144978158,TRUE
