"","x","y","inclusion.probabilities","ID","x.1","y.1","xy"
"1",780820,7525620,0.000163234271394338,1578190,113.726628316073,-22.3524360578168,TRUE
"2",783160,7530885,5.32919328317387e-05,317164,113.748397122278,-22.3045419352984,TRUE
"3",783230,7530240,0.000166793335422228,471720,113.749189964889,-22.3103507624299,TRUE
"4",781920,7528355,0.000163234271394338,923104,113.73681737508,-22.3275757357397,TRUE
"5",781175,7524810,4.97328688038485e-05,1772337,113.730214730445,-22.3596873333972,TRUE
"6",783790,7531580,8.1667652516646e-05,150768,113.754383550111,-22.2981667390187,TRUE
"7",781080,7526530,0.000215931452088948,1360206,113.728990595644,-22.3441818080767,TRUE
"8",782390,7530075,0.000191115386891587,511086,113.741072695179,-22.3119776698242,TRUE
"9",783650,7529860,0.000191115386891587,562852,113.753330404103,-22.3137106440245,TRUE
"10",784210,7531150,0.000166793335422228,253880,113.758532569926,-22.3019777017759,TRUE
"11",782060,7528070,0.000163234271394338,991418,113.738225505183,-22.3301245809051,TRUE
"12",782080,7527210,4.97325735740205e-05,1197478,113.738571119952,-22.337881794913,TRUE
"13",783390,7529575,5.32919328317387e-05,631086,113.750859295327,-22.3163252353609,TRUE
"14",781520,7527960,0.000215932042548604,1017666,113.733007135884,-22.3312056720307,TRUE
"15",780490,7525525,7.81085884887559e-05,1600886,113.723443622083,-22.3533472342738,TRUE
"16",781235,7526815,0.000163234271394338,1291951,113.730444050187,-22.3415846487413,TRUE
