"","x","y","inclusion.probabilities","ID","x.1","y.1","xy"
"1",760635,7482065,4.40529034622509e-05,994734,113.537978024083,-22.7487040276795,TRUE
"2",762300,7485075,0.000198238027373126,592931,113.553674069656,-22.7212812112919,TRUE
"3",762720,7489080,0.000100220045265,57947,113.557088362219,-22.6850717699932,TRUE
"4",760830,7481325,9.25106464348801e-05,1093637,113.539998967011,-22.7553522121193,TRUE
"5",762290,7488340,0.000100220045265,156725,113.553030093565,-22.6918168995279,TRUE
"6",761870,7483775,0.000198238027373126,766525,113.549708487284,-22.7330802089175,TRUE
"7",762680,7487595,0.000198238027373126,256335,113.556948146846,-22.6984797548667,TRUE
"8",762520,7486705,0.000198238027373126,375207,113.555541004768,-22.7065366638854,TRUE
"9",762105,7485370,0.000254405169175875,553480,113.551727659927,-22.718649210805,TRUE
"10",762835,7487820,0.000198238027373126,226306,113.558418039552,-22.6964250755847,TRUE
"11",760910,7481520,9.25106464348801e-05,1067601,113.54074486182,-22.7535799855686,TRUE
"12",761220,7480855,0.000198238027373126,1156507,113.543872563388,-22.7595334194795,TRUE
"13",761635,7484860,0.000108297497515867,621522,113.547240699958,-22.723324796314,TRUE
"14",761925,7483190,0.000198238027373126,844692,113.55034156605,-22.7383511487296,TRUE
"15",760515,7481075,0.000108297497515867,1126974,113.536975462951,-22.7576571681707,TRUE
"16",762600,7488090,9.25106464348801e-05,190187,113.556087083741,-22.6940249385834,TRUE
"17",761765,7483080,0.000198238027373126,859356,113.548803261232,-22.7393687249173,TRUE
"18",761245,7484415,0.000100220045265,680896,113.543520889961,-22.7274012787473,TRUE
"19",762915,7487425,0.000198238027373126,279094,113.559262421998,-22.6999773965572,TRUE
"20",761495,7481895,0.000198238027373126,1017618,113.546374514199,-22.7501049881453,TRUE
"21",762955,7488910,9.25106464348801e-05,80706,113.559402397569,-22.6865694324768,TRUE
"22",762640,7488685,0.000488251901826841,110703,113.556376461721,-22.6886489868016,TRUE
"23",762170,7487350,0.000164464639318616,288965,113.55202854589,-22.700770064611,TRUE
"24",761340,7482340,0.000198238027373126,958135,113.544791893066,-22.7461130109586,TRUE
"25",761105,7481445,0.000198238027373126,1077660,113.542654870344,-22.754226630458,TRUE
"26",762875,7488610,0.000416297908943105,120770,113.558674627526,-22.6892893030616,TRUE
"27",761365,7484715,4.40529034622509e-05,640840,113.544638231644,-22.7246752459325,TRUE
"28",761885,7483380,0.000198238027373126,819300,113.549920566331,-22.7366426594718,TRUE
"29",762740,7486830,4.40529034622509e-05,358551,113.557660022294,-22.70537435076,TRUE
"30",761955,7487515,4.40529034622509e-05,266878,113.549909694583,-22.6993143344686,TRUE
"31",762475,7486180,0.000198238027373126,445338,113.555191260438,-22.7112816548905,TRUE
"32",761435,7481610,0.000198238027373126,1055682,113.545838377998,-22.7526863589819,TRUE
"33",762245,7485735,0.000254405169175875,504744,113.553028450309,-22.7153334221241,TRUE
"34",762660,7487070,0.000198238027373126,326471,113.55684161631,-22.7032208585451,TRUE
"35",762085,7484545,0.000198238027373126,663696,113.551671251628,-22.7260977458213,TRUE
"36",761395,7481315,0.000198238027373126,1095086,113.545498514395,-22.7553548731402,TRUE
"37",761815,7485325,9.25106464348801e-05,559434,113.548914037098,-22.7191003472966,TRUE
"38",762385,7486770,0.000578192431684101,366496,113.554216944101,-22.7059710394524,TRUE
"39",761240,7483095,0.000108297497515867,857247,113.543692715864,-22.7393147970106,TRUE
"40",760380,7481240,4.40529034622509e-05,1104903,113.535634277984,-22.7561889473348,TRUE
"41",762050,7484250,0.000198238027373126,703101,113.551380157827,-22.728765487183,TRUE
"42",762465,7488255,0.000164464639318616,168116,113.554746404789,-22.6925568297809,TRUE
"43",761005,7481685,0.000416297908943105,1045576,113.541641708479,-22.7520761769948,TRUE
"44",762205,7486030,9.25106464348801e-05,465324,113.552589936778,-22.7126773317899,TRUE
"45",762935,7489370,0.000108297497515867,19246,113.559130766121,-22.6824211586874,TRUE
"46",761890,7484135,0.000198238027373126,718433,113.549842798656,-22.7298281878059,TRUE
