OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
1	0	0	1051.28866	619.54639	823.28866	568.02062
1	1	0	1255.98969	947.62887	1038.97938	901.23711
1	1	1	1220.73196	944.53608	1003.72165	893.81443
1	2	0	1409.51546	932.78351	1115.85567	896.90722
1	2	1	1377.96907	928.45361	1081.21649	889.48454
1	3	0	1584.74227	734.84536	1599.58763	691.54639
1	3	1	1803.71134	700.20619	1889.07216	661.85567
1	4	0	1197.52577	513.40206	1127.01031	449.07216
1	4	1	1394.22680	481.23711	1358.35052	413.19588
1	5	0	817.69072	772.87629	939.51546	698.40206
1	5	1	703.87629	769.78351	831.88660	693.45361
1	6	0	1245.77320	618.55670	843.71134	565.36082
1	6	1	922.88660	550.51546	476.28866	491.13402
1	7	0	1144.32990	748.45361	917.93814	685.36082
1	7	1	889.48454	681.64948	698.96907	614.84536
1	8	0	990.92784	550.51546	1014.43299	478.76289
1	8	1	767.01031	523.29897	785.56701	452.78351
1	9	0	1420.20619	486.18557	1490.72165	407.01031
1	9	1	1631.75258	431.75258	1739.38144	336.49485
1	10	0	476.28866	938.96907	178.14433	842.47423
1	10	1	894.43299	916.70103	680.41237	833.81443
1	11	0	1191.34021	926.59794	890.72165	888.24742
1	11	1	1646.59794	851.13402	1313.81443	815.25773
1	12	0	1514.22680	669.27835	1479.58763	609.89691
1	12	1	1791.34021	592.57732	1854.43299	528.24742
1	13	0	363.71134	625.97938	403.29897	551.75258
1	13	1	606.18557	640.82474	648.24742	566.59794
1	14	0	1170.30928	856.08247	1311.34021	664.32990
1	14	1	1560.00000	710.10309	848.65979	795.46392
1	15	0	1534.02062	581.44330	1673.81443	520.82474
1	15	1	1714.63918	556.70103	1901.44330	483.71134
1	16	0	1117.11340	684.12371	830.10309	623.50515
1	16	1	1375.67010	595.05155	1224.74227	534.43299
1	17	0	1206.18557	771.95876	915.46392	701.44330
1	17	1	1301.44330	501.03093	1091.13402	425.56701
1	18	0	102.68041	735.06186	287.01031	645.40206
1	18	1	248.65979	733.20619	416.90722	642.30928
1	19	0	554.62887	783.16495	685.96907	695.29897
1	19	1	418.54639	760.89691	565.35052	668.70103
1	20	0	209.69072	890.10309	256.70103	779.36082
1	20	1	421.23711	884.53608	433.60825	786.16495
1	21	0	1068.86598	663.09278	1065.15464	587.62887
1	21	1	1254.43299	609.89691	1261.85567	544.32990
1	22	0	330.30928	481.23711	395.87629	421.85567
1	22	1	519.58763	487.42268	570.30928	418.14433
1	23	0	164.53608	732.37113	295.67010	639.58763
1	23	1	49.48454	747.21649	184.32990	648.24742
1	24	0	411.95876	421.85567	390.92784	364.94845
1	24	1	659.38144	432.98969	614.84536	373.60825
1	25	0	322.88660	675.46392	440.41237	591.34021
1	25	1	196.70103	726.18557	320.41237	644.53608
1	26	0	473.81443	736.08247	575.25773	649.48454
1	26	1	293.19588	755.87629	425.56701	661.85567
1	27	0	335.25773	786.80412	451.54639	695.25773
1	27	1	171.95876	788.04124	312.98969	687.83505
1	28	0	304.32990	737.31959	429.27835	649.48454
1	28	1	134.84536	763.29897	284.53608	668.04124
1	29	0	818.87629	643.40206	992.51546	563.43299
1	29	1	917.22680	614.32990	1076.63918	536.83505
1	30	0	372.37113	766.63918	495.46392	671.96907
1	30	1	249.89691	765.40206	369.27835	673.20619
1	31	0	341.44330	710.10309	477.52577	624.74227
1	31	1	189.27835	702.68041	337.73196	609.89691
1	32	0	567.83505	491.13402	720.00000	423.09278
1	32	1	810.30928	451.54639	953.81443	379.79381
1	33	0	371.13402	604.94845	480.00000	531.95876
1	33	1	207.83505	595.05155	327.83505	519.58763
1	34	0	356.90722	510.24742	475.67010	435.56701
1	34	1	266.59794	479.93814	389.07216	415.77320
1	35	0	1190.41237	644.11340	1366.16495	569.16495
1	35	1	1284.43299	625.55670	1463.27835	554.93814
1	36	0	168.86598	649.41237	314.22680	566.53608
1	36	1	50.10309	669.82474	192.98969	587.56701
1	37	0	479.14433	704.69072	670.58763	620.96907
1	37	1	578.73196	686.75258	759.04124	606.12371
1	38	0	923.59794	465.34021	956.86598	395.57732
1	38	1	759.06186	448.02062	793.56701	378.87629
1	39	0	355.05155	648.24742	463.91753	564.12371
1	39	1	497.31959	675.46392	598.76289	588.86598
1	40	0	1363.29897	552.98969	1485.77320	467.62887
1	40	1	1500.61856	531.95876	1630.51546	442.88660
1	41	0	1581.03093	541.85567	1733.19588	456.49485
1	41	1	1728.24742	523.29897	1907.62887	432.98969
1	42	0	223.91753	691.54639	265.97938	591.34021
1	42	1	32.16495	687.83505	60.61856	586.39175
11	0	0	1162.98507	566.28319	850.14925	555.53097
11	1	0	95.52239	861.37168	5.97015	776.54867
11	2	0	142.08955	713.23009	242.38806	658.27434
11	3	0	1111.64179	735.92920	814.32836	716.81416
11	3	1	296.11940	741.90265	39.40299	694.11504
11	4	0	1038.80597	710.84071	751.04478	700.08850
11	4	1	599.40299	409.77876	378.50746	396.63717
11	5	0	930.14925	740.70796	668.65672	713.23009
11	5	1	634.02985	604.51327	296.11940	566.28319
11	6	0	860.89552	561.50442	666.26866	541.19469
11	6	1	526.56716	536.41593	404.77612	510.13274
11	7	0	401.19403	641.54867	442.98507	603.31858
11	7	1	136.11940	642.74336	240.00000	598.53982
11	8	0	890.74627	745.48673	556.41791	714.42478
11	8	1	256.71642	646.32743	16.71642	608.09735
11	9	0	720.00000	513.71681	15.52239	500.57522
11	9	1	1622.68657	191.15044	688.95522	164.86726
11	10	0	992.23881	770.57522	641.19403	743.09735
11	10	1	453.73134	700.08850	194.62687	657.07965
11	11	0	758.20896	879.29204	318.80597	830.30973
