Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCPREF10,-22.6745,113.5666,20210826,08:49,08:54,,Pt Cloates,,79,,,,Synced cameras with light at start - too rough,RAW1,CON1,,,,,,,,,
PCPREF15,-22.6751,113.561,20210826,09:07,09:12,,Pt Cloates,,89,,,,"checked cameras, one light off swapped battery",RAW1,CON1,,,,,,,,,
PCPREF9,-22.6779,113.5654,20210826,09:18,09:23,,Pt Cloates,,78,,,,,RAW1,CON1,,,,,,,,,
PCPREF8,-22.6845,113.5637,20210826,09:28,09:33,,Pt Cloates,,79,,,,didn't show whiteboard,RAW1,CON1,,,,,,,,,
PCFB24,-22.6849,113.5534,20210826,09:41,09:46,,Pt Cloates,,98,,,,replaced cable tie on bridle,RAW1,CON1,,,,,,,,,
PCFB43,-22.6868,113.5588,20210826,09:52,09:58,,Pt Cloates,,87.6,,,,checked cameras,RAW1,CON1,,,,,,,,,
PCPREF7,-22.6909,113.5609,20210826,10:02,10:08,,Pt Cloates,,79,,,,"showed PCFB17 instead of PCPREF7. Bit of confusion between points PCPREF7, PCFB17 and PCFB7",RAW1,CON1,,,,,,,,,
PCFB17,-22.6881,113.5601,20210826,10:14,10:19,,Pt Cloates,,85,,,,showed PCFB17. mixup,RAW1,CON1,,,,,,,,,
PCFB38,-22.6921,113.5578,20210826,10:27,10:32,,Pt Cloates,,83,,,,"showed PCFB25, then PCFB38",RAW1,CON1,,,,,,,,,
PCFB7,-22.6924,113.5591,20210826,10:38,10:43,,Pt Cloates,,81,,,,,RAW1,CON1,,,,,,,,,
PCFB22,-22.6943,113.562,20210826,10:47,10:53,,Pt Cloates,,78,,,,checked all cameras,RAW1,CON1,,,,,,,,,
PCFB33,-22.6973,113.561,20210826,10:57,11:03,,Pt Cloates,,77,,,,,RAW1,CON1,,,,,,,,,
PCPREF11,-22.6967,113.5595,20210826,11:08,11:13,,Pt Cloates,,79,,,,checked all cameras and resynced with light,RAW1,CON1,,,,,,,,,
PCFB40,-22.6945,113.5549,20210826,11:20,11:25,,Pt Cloates,,89,,,,,RAW1,CON1,,,,,,,,,
PCFB2,-22.696,113.5523,20210826,11:30,11:36,,Pt Cloates,,91,,,,,RAW1,CON1,,,,,,,,,
PCFB12,-22.6981,113.5558,20210826,11:42,11:48,,Pt Cloates,,83.9,,,,checked cameras,RAW1,CON1,,,,,,,,,
PCFB28,-22.7017,113.5585,20210826,11:51,11:57,,Pt Cloates,,80,,,,showed PCPREF1,RAW1,CON1,,,,,,,,,
PCPREF1,-22.6998,113.5588,20210826,12:03,12:08,,Pt Cloates,,81,,,,skipped and went back after PCFB28,RAW1,CON1,,,,,,,,,
PCFB23,-22.7009,113.5562,20210826,12:13,12:19,,Pt Cloates,,80,,,,,RAW1,CON1,,,,,,,,,
PCFB46,-22.7009,113.5512,20210826,12:28,12:33,,Pt Cloates,,92.7,,,,,RAW1,CON1,,,,,,,,,
PCFB19,-22.7049,113.5517,20210826,12:37,12:42,,Pt Cloates,,89,,,,,RAW1,CON1,,,,,,,,,
PCPREF16,-22.7053,113.5501,20210826,12:47,12:52,,Pt Cloates,,91.8,,,,,RAW1,CON1,,,,,,,,,
