"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Lutjanidae","Pristipomoides","typus",0.41,1.41,0.061,14.74,28.56,46.5
"Acanthuridae","Acanthurus","grammoptilus",0.393,0.679,0.185,18.6,23.71,28.88
"Mullidae","Parupeneus","heptacanthus",0.375,0.537,0.241,22.36,25.66,29.01
"Balistidae","Sufflamen","fraenatum",0.363,0.637,0.122,16.73,23.53,29.21
"Mullidae","Parupeneus","spilurus",0.358,1.175,0.012,8.34,23.37,38.4
"Carangidae","Unknown","sp1",0.357,0.391,0.293,25.89,27.64,28.55
"Nemipteridae","Nemipterus","spp",0.318,0.821,0.008,7.48,23.39,34.02
"Lethrinidae","Lethrinus","ravus",0.318,0.457,0.163,21.16,26.13,29.64
"Caesionidae","Caesio","cuning",0.308,0.345,0.254,22.7,24.1,25.04
"Labridae","Bodianus","bilunulatus",0.3,0.483,0.125,19.66,25.53,30.84
"Labridae","Bodianus","solatus",0.294,0.608,0.011,9.46,26.41,34.86
"Carangidae","Decapterus","spp",0.284,1.688,0.011,8.45,24.52,46.88
"Serranidae","Epinephelus","areolatus",0.279,0.532,0.065,18.21,29.27,37.15
"Balistidae","Xanthichthys","lineopunctatus",0.277,0.485,0.113,16.44,21.85,27
"Mullidae","Parupeneus","chrysopleuron",0.276,0.773,0.044,13.13,23.7,35.67
"Serranidae","Cephalopholis","spiloparaea",0.275,0.609,0.04,11.35,19.36,28.15
"Lethrinidae","Gymnocranius","griseus",0.274,0.563,0.039,12.89,23.95,31.47
"Holocentridae","Myripristis","botche",0.274,0.454,0.165,17.4,20.2,24.21
"Serranidae","Epinephelus","rivulatus",0.259,0.393,0.063,16.35,25.07,29.55
"Labridae","Choerodon","sp1",0.25,0.25,0.25,26.35,26.35,26.35
"Labridae","Choerodon","zamboangae",0.242,0.453,0.047,14.88,24.32,31.18
"Lutjanidae","Lutjanus","vitta",0.23,0.647,0.052,15.03,23.42,34.11
"Nemipteridae","Parascolopsis","eriomma",0.223,0.242,0.204,19.47,20.1,20.68
"Pomacanthidae","Chaetodontoplus","personifer",0.223,0.441,0.08,15.28,21.09,27.61
"Lutjanidae","Lutjanus","quinquelineatus",0.216,0.335,0.136,19.1,22.08,25.51
"Nemipteridae","Parascolopsis","inermis",0.215,0.514,0.093,16.65,20.66,29.17
"Monacanthidae","Nelusetta","ayraud",0.194,0.44,0.065,18.04,24.28,35.64
"Carangidae","Carangoides","equula",0.193,0.288,0.089,15.05,19.5,22.78
"Chaetodontidae","Heniochus","diphreutes",0.19,0.2,0.18,20,20.34,20.71
"Priacanthidae","Priacanthus","sp1",0.164,0.164,0.164,21.61,21.61,21.61
"Chaetodontidae","Heniochus","acuminatus",0.161,0.323,0.006,5.97,16.29,21.16
"Pomacanthidae","Apolemichthys","trimaculatus",0.085,0.128,0.069,14.51,15.51,18.01
"Caesionidae","Pterocaesio","digramma",0.084,0.277,0.019,10.74,16.06,23.85
"Priacanthidae","Priacanthus","blochii",0.046,0.046,0.046,13.31,13.31,13.31
"Malacanthidae","Malacanthus","brevirostris",0.036,0.043,0.029,18.1,19.33,20.55
"Caesionidae","Caesio","teres",0.035,0.042,0.03,10.15,10.58,11.2
"Echeneidae","Echeneis","naucrates",0.034,0.185,0.003,11.38,21.27,40.33
"Nemipteridae","Scolopsis","affinis",0.029,0.058,0.004,6.04,10.76,15.03
"Caesionidae","Pterocaesio","chrysozona",0.026,0.063,0.004,5.59,10.64,15.13
"Chaetodontidae","Chaetodon","assarius",0.024,0.06,0.006,6.21,9.37,13.7
"Nemipteridae","Pentapodus","nagasakiensis",0.017,0.055,0.001,4.07,9.93,15.79
"Labridae","Unknown","sp8",0.015,0.016,0.013,9.5,9.97,10.22
"Pinguipedidae","Parapercis","sp1",0.015,0.049,0.003,6.6,10.19,17.16
"Labridae","Unknown","sp1",0.014,0.027,0.001,3.98,8.13,12.28
"Labridae","Coris","caudimacula",0.013,0.036,0.001,4.84,8.47,14.54
"Lutjanidae","Pristipomoides","spp",0.009,0.009,0.009,7.68,7.68,7.68
"Labridae","Pseudojuloides","sp1",0.008,0.014,0.002,4.92,7.63,9.78
"Labridae","Unknown","sp7",0.007,0.007,0.007,7.92,7.92,7.92
"Cirrhitidae","Cyprinocirrhites","polyactis",0.007,0.019,0,2.34,6.11,9.64
"Labridae","Labroides","dimidiatus",0.005,0.007,0.002,6.1,7.56,9.03
"Serranidae","Pseudanthias","cooperi",0.004,0.004,0.004,6.66,6.66,6.66
"Pinguipedidae","Parapercis","nebulosa",0.003,0.014,0,3.84,6.94,11.94
"Apogonidae","Ostorhinchus","fasciatus",0.003,0.003,0.003,5.36,5.56,5.76
"Serranidae","Pseudanthias","georgei",0.003,0.009,0,3.25,5.42,9.51
"Labridae","Suezichthys","cyanolaemus",0.002,0.007,0,3.99,6.7,10.28
"Pinguipedidae","Parapercis","sp10",0.002,0.004,0.001,3.56,5.28,7
"Labridae","Choerodon","vitta",0.002,0.002,0.002,4.69,4.69,4.69
"Bothidae","Unknown","spp",0.001,0.001,0.001,4.86,4.86,4.86
"Microdesmidae","Gunnellichthys","monostigma",0.001,0.001,0.001,6.15,6.15,6.15
"Labridae","Choerodon","jordani",0.001,0.002,0,2.97,4,5.16
"Tetraodontidae","Canthigaster","rivulata",0.001,0.001,0.001,3.01,3.01,3.01
"Microdesmidae","Ptereleotris","sp2",0.001,0.001,0.001,4.75,4.75,4.75
"Cirrhitidae","Cirrhitichthys","falco",0,0,0,2.69,2.69,2.69
"Microdesmidae","Ptereleotris","sp1",0,0.001,0,1.58,3.6,5.21
