"","Sample","Date","Time","Time.out","Site","Location","Status","Depth","Observer","Successful.count","Successful.length","Video.notes","Raw.hdd.number","Con.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Length.analyst","Length.complete.date.yyyymmdd","Notes","Longitude","Latitude"
"24","YFBP12",20210822,"15:34","15:40",NA,"Yardie Creek",NA,77,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7351883,-22.33659
"25","YFB7",20210822,"15:47","15:52",NA,"Yardie Creek",NA,77,NA,NA,NA,"Checked cams afterwards.","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7328333,-22.33727167
"26","YFB6",20210822,"15:59","16:04",NA,"Yardie Creek",NA,91,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7259483,-22.33861833
"27","YFB3",20210822,"16:11","16:17",NA,"Yardie Creek",NA,77,NA,NA,NA,"Late pull. Tim distracted Andy.","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7285817,-22.34273
"28","YFB15",20210822,"16:24","16:29",NA,"Yardie Creek",NA,78,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.727365,-22.344695
"29","YFB23",20210822,"16:36","16:41",NA,"Yardie Creek",NA,78,NA,NA,NA,"Camera 5 was off","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7271017,-22.34750333
"30","YFBP13",20210822,"16:54","17:00",NA,"Yardie Creek",NA,73,NA,NA,NA,"Synced with light","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7319117,-22.34508167
"31","YFBP3",20210822,"17:07","17:13",NA,"Yardie Creek",NA,75,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7334133,-22.33966167
"32","YFBP10",20210825,"08:20","08:26",NA,"Yardie Creek",NA,82,NA,NA,NA,"003 went in with no battery","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7222617,-22.353415
"33","YFB8",20210825,"08:31","08:37",NA,"Yardie Creek",NA,92,NA,NA,NA,"checked all cams all ok","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7206767,-22.34924
"34","YFBP11",20210825,"08:44","08:50",NA,"Yardie Creek",NA,75,NA,NA,NA,"found crab island on way to P4","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7326583,-22.342255
"35","YFBP4",20210825,"09:14","09:19",NA,"Yardie Creek",NA,100,NA,NA,NA,"checked all cams before all ok","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7182367,-22.33700167
"36","YFBP18",20210825,"09:23","09:29",NA,"Yardie Creek",NA,102,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7169333,-22.33545333
"37","YFBP5",20210825,"09:35","09:40",NA,"Yardie Creek",NA,100,NA,NA,NA,"lots of jellies","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.720915,-22.331495
"38","YFB10",20210825,"14:03","14:10",NA,"Yardie Creek",NA,80,NA,NA,NA,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.741145,-22.32089
"39","YFBP2",20210825,"14:20","14:26",NA,"Yardie Creek",NA,73,NA,NA,NA,"Chose a good spot around the mark from sounder","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.74465,-22.32180667
