Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
YFB13,,,20210822,10:44,10:51,,Yardie Creek,,82.8,,,,Fell off tipper at end.,RAW1,,,,,,,,,,
YFB17,,,20210822,11:03,11:10,,Yardie Creek,,93.5,,,,,RAW1,,,,,,,,,,
YFBP17,,,20210822,11:16,11:22,,Yardie Creek,,93,,,,,RAW1,,,,,,,,,,
YFB11,,,20210822,11:29,11:34,,Yardie Creek,,88.1,,,,,RAW1,,,,,,,,,,
YFB4,,,20210822,11:42,11:47,,Yardie Creek,,82.4,,,,,RAW1,,,,,,,,,,
YFB18,,,20210822,11:54,12:00,,Yardie Creek,,80.8,,,,Checked cams before,RAW1,,,,,,,,,,
YFBP8,,,20210822,12:06,12:11,,Yardie Creek,,83,,,,,RAW1,,,,,,,,,,
YFB9,,,20210822,12:18,12:24,,Yardie Creek,,93,,,,,RAW1,,,,,,,,,,
YFBP16,,,20210822,12:29,12:35,,Yardie Creek,,88,,,,,RAW1,,,,,,,,,,
YFBP1,,,20210822,12:43,12:48,,Yardie Creek,,73,,,,Checked cams before and sync flasher.,RAW1,,,,,,,,,,
YFB22,,,20210822,12:54,13:00,,Yardie Creek,,80,,,,,RAW1,,,,,,,,,,
YFB14,,,20210822,13:06,13:14,,Yardie Creek,,87,,,,,RAW1,,,,,,,,,,
YFBC1,,,20210822,13:20,13:25,,Yardie Creek,,81,,,,Captains pick. Lots of fish on the sounder,RAW1,,,,,,,,,,
YFB5,,,20210822,13:31,13:36,,Yardie Creek,,82,,,,Checked cams before,RAW1,,,,,,,,,,
YFBP15,,,20210822,13:42,13:48,,Yardie Creek,,80,,,,,RAW1,,,,,,,,,,
YFB20,,,20210822,13:54,14:01,,Yardie Creek,,91,,,,Filmed 10 but should be 20. Andy says steep slope,RAW1,,,,,,,,,,
YFB16,,,20210822,14:06,14:12,,Yardie Creek,,87,,,,,RAW1,,,,,,,,,,
YFBP14,,,20210822,14:19,14:25,,Yardie Creek,,78,,,,Filmed 1 but should be P14,RAW1,,,,,,,,,,
YFB1,,,20210822,14:31,14:36,,Yardie Creek,,78,,,,,RAW1,,,,,,,,,,
YFB19,,,20210822,14:51,14:56,,Yardie Creek,,88,,,,Tim added blue thing to bottom. Checked and synced with flasher.,RAW1,,,,,,,,,,
YFBP9,,,20210822,15:02,15:07,,Yardie Creek,,78,,,,Time at bottom guesses from here onwards,RAW1,,,,,,,,,,
YFBP6,,,20210822,15:13,15:08,,Yardie Creek,,75,,,,,RAW1,,,,,,,,,,
YFB2,,,20210822,15:23,15:29,,Yardie Creek,,77,,,,,RAW1,,,,,,,,,,
YFBP12,,,20210822,15:34,15:40,,Yardie Creek,,77,,,,,RAW1,,,,,,,,,,
YFB7,,,20210822,15:47,15:52,,Yardie Creek,,77,,,,Checked cams afterwards.,RAW1,,,,,,,,,,
YFB6,,,20210822,15:59,16:04,,Yardie Creek,,91,,,,,RAW1,,,,,,,,,,
YFB3,,,20210822,16:11,16:17,,Yardie Creek,,77,,,,Late pull. Tim distracted Andy.,RAW1,,,,,,,,,,
YFB15,,,20210822,16:24,16:29,,Yardie Creek,,78,,,,,RAW1,,,,,,,,,,
YFB23,,,20210822,16:36,16:41,,Yardie Creek,,78,,,,Camera 5 was off,RAW1,,,,,,,,,,
YFBP13,,,20210822,16:54,17:00,,Yardie Creek,,73,,,,Synced with light,RAW1,,,,,,,,,,
YFBP3,,,20210822,17:07,17:13,,Yardie Creek,,75,,,,,RAW1,,,,,,,,,,
YFBP10,,,20210825,08:20,08:26,,Yardie Creek,,82,,,,003 went in with no battery,RAW1,,,,,,,,,,
YFB8,,,20210825,08:31,08:37,,Yardie Creek,,92,,,,checked all cams all ok,RAW1,,,,,,,,,,
YFBP11,,,20210825,08:44,08:50,,Yardie Creek,,75,,,,found crab island on way to P4,RAW1,,,,,,,,,,
YFBP4,,,20210825,09:14,09:19,,Yardie Creek,,100,,,,checked all cams before all ok,RAW1,,,,,,,,,,
YFBP18,,,20210825,09:23,09:29,,Yardie Creek,,102,,,,,RAW1,,,,,,,,,,
YFBP5,,,20210825,09:35,09:40,,Yardie Creek,,100,,,,lots of jellies,RAW1,,,,,,,,,,
YFB10,,,20210825,14:03,14:10,,Yardie Creek,,80,,,,,RAW1,,,,,,,,,,
YFBP2,,,20210825,14:20,14:26,,Yardie Creek,,73,,,,Chose a good spot around the mark from sounder,RAW1,,,,,,,,,,
