Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCSBP10,,,20210909,07:44,07:50,,Pt Cloates,,77,,,,,RAW2,,,,,,,,,,
PCSBP15,,,20210909,07:57,08:04,,Pt Cloates,,89,,,,Checked 077 afterwards. Synced with flasher,RAW2,,,,,,,,,,
PCSBP9,,,20210909,08:18,08:25,,Pt Cloates,,82,,,,Bottom light was off,RAW2,,,,,,,,,,
PCSB45,,,20210909,08:32,08:38,,Pt Cloates,,89,,,,,RAW2,,,,,,,,,,
PCSBP8,,,20210909,08:44,08:51,,Pt Cloates,,78,,,,,RAW2,,,,,,,,,,
PCSB3,,,20210909,08:56,09:04,,Pt Cloates,,91,,,,Checked cams and lights before.,RAW2,,,,,,,,,,
PCSB21,,,20210909,09:12,09:19,,Pt Cloates,,88,,,,,RAW2,,,,,,,,,,
PCSB22,,,20210909,09:27,09:36,,Pt Cloates,,91,,,,Lots of whales near by,RAW2,,,,,,,,,,
PCSB26,,,20210909,09:39,09:46,,Pt Cloates,,85,,,,,RAW2,,,,,,,,,,
PCSBP7,,,20210909,09:50,09:57,,Pt Cloates,,80,,,,Checked cams after and synced,RAW2,,,,,,,,,,
PCSB5,,,20210909,10:14,10:21,,Pt Cloates,,96,,,,,RAW2,,,,,,,,,,
PCSB42,,,20210909,10:25,10:32,,Pt Cloates,,91,,,,,RAW2,,,,,,,,,,
PCSB16,,,20210909,10:39,10:47,,Pt Cloates,,87,,,,,RAW2,,,,,,,,,,
PCSBP11,,,20210909,10:51,10:59,,Pt Cloates,,79,,,,,RAW2,,,,,,,,,,
PCSB10,,,20210909,11:02,11:10,,Pt Cloates,,81,,,,Checked cams before,RAW2,,,,,,,,,,
PCSB7,,,20210909,11:12,11:19,,Pt Cloates,,83,,,,,RAW2,,,,,,,,,,
PCSB30,,,20210909,11:25,11:31,,Pt Cloates,,96,,,,,RAW2,,,,,,,,,,
PCSB23,,,20210909,11:35,11:42,,Pt Cloates,,91,,,,,RAW2,,,,,,,,,,
PCSBP1,,,20210909,11:47,11:54,,Pt Cloates,,79,,,,Filmed 1 but filmed P1 again. BRUV was good ground.,RAW2,,,,,,,,,,
PCSB19,,,20210909,11:58,12:06,,Pt Cloates,,80,,,,Gap to find BRUV.,RAW2,,,,,,,,,,
PCSB34,,,20210909,12:54,13:01,,Pt Cloates,,82,,,,Synced before and checked cams,RAW2,,,,,,,,,,
PCSBP16,,,20210909,13:05,13:13,,Pt Cloates,,89,,,,"Use MBH mark, accidentally moved mark",RAW2,,,,,,,,,,
PCSB38,,,20210909,13:17,13:24,,Pt Cloates,,83,,,,,RAW2,,,,,,,,,,
PCSB8,,,20210909,13:27,13:34,,Pt Cloates,,82,,,,,RAW2,,,,,,,,,,
PCSB29,,,20210909,13:37,13:44,,Pt Cloates,,82,,,,,RAW2,,,,,,,,,,
PCSB31,,,20210909,13:50,13:57,,Pt Cloates,,81,,,,Checked cams before,RAW2,,,,,,,,,,
PCSB44,,,20210909,14:00,14:07,,Pt Cloates,,83,,,,Jessie squids Jo in 007,RAW2,,,,,,,,,,
PCSB33,,,20210909,14:10,14:17,,Pt Cloates,,81,,,,,RAW2,,,,,,,,,,
PCSBP6,,,20210909,14:20,14:27,,Pt Cloates,,84,,,,,RAW2,,,,,,,,,,
PCSB9,,,20210909,14:29,14:36,,Pt Cloates,,81,,,,,RAW2,,,,,,,,,,
