Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Deployment.time,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
YBBP10,,,23082021,08:54,09:05,,Yardie Creek,,84,,,,10,10 min deployments,RAW1,,,,,,,,,,
YBB17,,,23082021,09:12,09:23,,,,81,,,,10,,RAW1,,,,,,,,,,
YBBC1,,,23082021,09:56,10:07,,,,260,,,,10,"checked cams, tim gone rogue with deeper legacy drops, cliff on sounder",RAW1,,,,,,,,,,
YBBC2,,,23082021,10:23,10:34,,,,260,,,,10,another captains pick,RAW1,,,,,,,,,,
YBB15,,,23082021,10:59,11:09,,,,87,,,,10,"checked cams before, restarted soundtrap",RAW1,,,,,,,,,,
YBB9,,,23082021,11:17,11:28,,,,79,,,,10,re-synced before,RAW1,,,,,,,,,,
YBBP12,,,23082021,11:56,12:07,,,,75,,,,10,,RAW1,,,,,,,,,,
YBBP6,,,23082021,11:37,11:48,,,,75,,,,10,"filmed 12 but should be 6, lots of fish on sounder",RAW1,,,,,,,,,,
YBBP9,,,23082021,12:13,12:23,,,,78,,,,10,good ground,RAW1,,,,,,,,,,
YBB10,,,23082021,12:29,12:41,,,,78,,,,10,"checked cams before, all okay",RAW1,,,,,,,,,,
YBB21,,,23082021,12:52,13:04,,,,85,,,,10,"filmed 14 but should be 21, 2 lights off",RAW1,,,,,,,,,,
YBBP14,,,23082021,13:11,13:22,,,,78,,,,10,whale delayed,RAW1,,,,,,,,,,
YBB24,,,23082021,13:28,13:33,,,,75,,,,5,5 mins from here onward,RAW1,,,,,,,,,,
YBBP2,,,23082021,13:40,13:47,,,,73,,,,5,,RAW1,,,,,,,,,,
YBB16,,,23082021,13:53,14:00,,,,79,,,,5,checked cams and re-synced,RAW1,,,,,,,,,,
YBBP15,,,23082021,14:05,14:10,,,,80,,,,5,3 sharks followed up,RAW1,,,,,,,,,,
YBB3,,,23082021,14:22,14:27,,,,93,,,,5,bottom light off,RAW1,,,,,,,,,,
YBB19,,,23082021,14:33,14:39,,,,89,,,,5,,RAW1,,,,,,,,,,
YBBP1,,,23082021,14:49,14:54,,,,73,,,,5,lost 2 arms,RAW1,,,,,,,,,,
YBB5,,,23082021,15:00,15:05,,,,81,,,,5,checked cams before,RAW1,,,,,,,,,,
YBB2,,,23082021,15:24,15:31,,,,79,,,,5,bait filled up from here on,RAW1,,,,,,,,,,
YBB14,,,23082021,15:12,15:18,,,,85,,,,5,,RAW1,,,,,,,,,,
YBBP16,,,23082021,15:37,15:42,,,,89,,,,5,,RAW1,,,,,,,,,,
YBB8,,,23082021,15:48,15:54,,,,82,,,,5,filmed 6 but should be 8,RAW1,,,,,,,,,,
YBBP8,,,23082021,15:58,16:03,,,,80,,,,5,checked and re-synced,RAW1,,,,,,,,,,
YBB13,,,23082021,16:08,16:14,,,,80,,,,5,,RAW1,,,,,,,,,,
YBB23,,,23082021,16:20,16:25,,,,81,,,,5,,RAW1,,,,,,,,,,
YBB20,,,23082021,16:32,16:37,,,,89,,,,5,,RAW1,,,,,,,,,,
YBBP17,,,23082021,16:43,16:48,,,,91,,,,5,,RAW1,,,,,,,,,,
YBB22,,,23082021,16:57,17:02,,,,85,,,,5,,RAW1,,,,,,,,,,
YBB11,,,23082021,17:07,17:12,,,,84,,,,5,,RAW1,,,,,,,,,,
YBB18,,,25082021,09:47,09:52,,,,94,,,,5,"took 3 out to check battery, resynced and checked cams",RAW1,,,,,,,,,,
YBB1,,,25082021,09:59,10:05,,,,75,,,,5,,RAW1,,,,,,,,,,
YBBP3,,,25082021,10:10,10:16,,,,76,,,,5,,RAW1,,,,,,,,,,
YBBP11,,,25082021,10:30,10:36,,,,75,,,,5,"resynced checked cams, cam 8 was off",RAW1,,,,,,,,,,
YBB12,,,25082021,10:41,10:49,,,,74,,,,5,filmed YBBP12 but should be YBB12,RAW1,,,,,,,,,,
YBBP13,,,25082021,10:53,11:03,,,,75,,,,5,,RAW1,,,,,,,,,,
YBB7,,,25082021,11:12,11:19,,,,82,,,,5,2boats on mark had a cute dog,RAW1,,,,,,,,,,
YBB4,,,25082021,11:28,11:34,,,,93,,,,5,,RAW1,,,,,,,,,,
YBBP4,,,25082021,11:44,11:50,,,,100,,,,5,Checked cams before,RAW1,,,,,,,,,,
YBBP18,,,25082021,11:58,12:04,,,,102,,,,5,,RAW1,,,,,,,,,,
YBBP5,,,25082021,12:14,12:22,,,,101,,,,5,Tangled,RAW1,,,,,,,,,,
