"","p_inclusion","lon","lat","method","dropcode","depth","slope","selected"
"1",0.000107541231078515,113.564976955739,-22.682914330693,"BRUV","B19",-79.1760117260308,0.274134686087741,"MBH"
"2",0.000225833487948508,113.560480618566,-22.6870035509422,"BRUV","B13",-83.7069339348415,1.89302041969017,"MBH"
"3",0.000264867025184527,113.555946330662,-22.6890620947005,"BRUV","B14",-92.3427233444706,2.00757225999485,"MBH"
"4",0.000107541231078515,113.562840899912,-22.6909829554116,"BRUV","B21",-79.1515942475243,0.463785054492718,"MBH"
"5",0.000264867025184527,113.555315744328,-22.6917804025376,"BRUV","B29",-91.0872096042105,1.67752514258466,"MBH"
"6",0.000225833487948508,113.557613960684,-22.6924207294799,"BRUV","B38",-84.7629563883411,1.73887893309914,"MBH"
"7",0.000225833487948508,113.557196392018,-22.693510697921,"BRUV","B9",-84.8686083013921,1.62338069360762,"MBH"
"8",0.000138011274884202,113.564495273187,-22.6936195236934,"BRUV","B34",-76.1200967870015,1.03963181151449,"MBH"
"9",0.000264867025184527,113.554635669585,-22.6944543622491,"BRUV","B42",-90.2571775297171,1.51538155413207,"MBH"
"10",0.000225833487948508,113.559122364307,-22.6950596935624,"BRUV","B15",-80.8501764179042,1.55835807769138,"MBH"
"11",0.000107541231078515,113.56175687507,-22.6954688884689,"BRUV","B2",-78.9737312518164,0.558205611112803,"MBH"
"12",0.000107541231078515,113.559576826724,-22.6959551632776,"BRUV","B46",-80.0008669885967,0.42403087448095,"MBH"
"13",0.000107541231078515,113.561408952676,-22.697686176459,"BRUV","B28",-77.729806323247,0.476621568656617,"MBH"
"14",5.43682479383288e-05,113.550916787563,-22.6985309387496,"BRUV","B35",-94.5405401134739,1.38567741536288,"MBH"
"15",5.87495088645377e-05,113.553155499232,-22.7012034475516,"BRUV","B17",-88.1325766581278,0.816329985157956,"MBH"
"16",2.38982041326418e-05,113.546365669415,-22.7049678434353,"BRUV","B25",-98.910516835523,0.349659635911923,"MBH"
"17",0.000138011274884202,113.558641121518,-22.7058100237519,"BRUV","B30",-78.7492390207268,0.938731052056133,"MBH"
"18",0.000225833487948508,113.553012684974,-22.7092401532827,"BRUV","B22",-84.1751323651286,1.90754424429694,"MBH"
"19",0.000230015720452631,113.549237379116,-22.7102934214932,"BRUV","B18",-92.6236767290874,1.57538305701633,"MBH"
"20",1.97159716285183e-05,113.553912440394,-22.710534759681,"BRUV","B39",-80.6929098512079,0.790470745483318,"MBH"
"21",0.000264867025184527,113.5479263352,-22.7156856637147,"BRUV","B41",-91.3203922551023,1.57324732321009,"MBH"
"22",8.92195526702247e-05,113.548755433435,-22.7210437791292,"BRUV","B33",-88.2807077902349,1.17688908366373,"MBH"
"23",0.000107541231078515,113.556300696699,-22.721239213795,"BRUV","B20",-77.4240433306035,0.632049921669158,"MBH"
"24",0.000225833487948508,113.550618032967,-22.7217813924174,"BRUV","B5",-82.8402611749003,2.09356113317061,"MBH"
"25",8.92195526702247e-05,113.546064094372,-22.7228470386525,"BRUV","B1",-91.4860544875583,1.08760983186577,"MBH"
"26",0.000107541231078515,113.554939566424,-22.7239240711318,"BRUV","B32",-78.3625333022293,0.620429196861354,"MBH"
"27",8.92195526702247e-05,113.545716728305,-22.7251094391332,"BRUV","B27",-91.2476468890432,0.938399008119899,"MBH"
"28",0.000225833487948508,113.548027196216,-22.7263815897424,"BRUV","B11",-87.1854529246977,1.84301987102711,"MBH"
"29",2.38982041326418e-05,113.541955108129,-22.7269296879536,"BRUV","B10",-96.3903206985072,0.692183288215642,"MBH"
"30",0.000107541231078515,113.553782993474,-22.7297652474618,"BRUV","B8",-78.246286873889,0.901843630648566,"MBH"
"31",5.01860154342054e-05,113.547445696035,-22.7317621956379,"BRUV","B36",-84.3757376140379,1.12348580644646,"MBH"
"32",2.38980617525652e-05,113.558895750931,-22.7325721972119,"BRUV","B43",-71.7792200316812,0.36112808095034,"MBH"
"33",5.43681055582522e-05,113.555365627726,-22.7337571361379,"BRUV","B4",-74.8000024601345,0.956519106946867,"MBH"
"34",5.43682479383288e-05,113.541329476679,-22.7351997840175,"BRUV","B23",-92.8113118731097,1.02498671039712,"MBH"
"35",0.000138011274884202,113.551402593096,-22.7378376930208,"BRUV","B3",-79.0920227670215,1.08925945406526,"MBH"
"36",5.43682479383288e-05,113.539677440601,-22.7405974123366,"BRUV","B16",-93.7002837476413,0.950035314184379,"MBH"
"37",0.000138011274884202,113.551129880743,-22.7441161074534,"BRUV","B24",-77.4522163178178,1.1100604314531,"MBH"
"38",2.38980617525652e-05,113.553059917581,-22.7458456032922,"BRUV","B6",-73.970594038353,0.815165378438089,"MBH"
"39",0.000138011274884202,113.55054687266,-22.746788510356,"BRUV","B37",-77.03633055495,1.05194205171779,"MBH"
"40",0.000107541231078515,113.54900931911,-22.7478512198013,"BRUV","B44",-79.2453267167469,0.852891190298321,"MBH"
"41",1.97159716285183e-05,113.547453223446,-22.7505391496575,"BRUV","B12",-80.3457684699366,0.88684484840358,"MBH"
"42",5.87495088645377e-05,113.539194888087,-22.751347782257,"BRUV","B31",-90.7194064012351,0.53545750563428,"MBH"
"43",1.97159716285183e-05,113.544510538813,-22.7519401983871,"BRUV","B40",-83.3920907479928,0.332475684469188,"MBH"
"44",5.87495088645377e-05,113.538085345677,-22.7571430106385,"BRUV","B7",-89.6309905351877,0.926439019551549,"MBH"
"45",0.000107541231078515,113.546597251657,-22.7594899637003,"BRUV","B45",-77.8226718202105,0.535013636484759,"MBH"
"46",0.000107541231078515,113.548430162775,-22.7612210509754,"BRUV","B26",-76.7016043043654,0.290893063072134,"MBH"
"47",NA,113.558962119021,-22.6995827363038,"BRUV","B47",-81.5200903023915,0.639237721881957,"Preferential"
