"","x","y","inclusion.probabilities","ID","x.1","y.1","xy"
"1",762250,7486645,6.10960187894674e-05,383169,113.552924701757,-22.7071201094544,TRUE
"2",761830,7485645,0.000108615107598534,516685,113.549006438694,-22.7162100885028,TRUE
"3",763500,7488650,0.000168013725945985,115551,113.564746615339,-22.6888309723086,TRUE
"4",762615,7485310,0.000130919759573844,561598,113.55669903985,-22.7191113988999,TRUE
"5",761260,7480745,6.10960187894674e-05,1171211,113.544280206406,-22.7605199391643,TRUE
"6",763345,7487760,0.000130919759573844,234424,113.563388608162,-22.6968871282253,TRUE
"7",762965,7486420,0.000130919759573844,413372,113.559917448437,-22.7090394598241,TRUE
"8",762445,7488575,6.61874322727481e-05,125360,113.554498314229,-22.6896720081331,TRUE
"9",761610,7480890,0.000130919759573844,1151909,113.547661800483,-22.7591570129115,TRUE
"10",761400,7484900,6.61874322727481e-05,616131,113.544947829957,-22.723000233432,TRUE
"11",763070,7487905,0.000130919759573844,214997,113.560689490846,-22.6956213928234,TRUE
"12",762185,7483675,0.000130919759573844,779948,113.552789919962,-22.733933733758,TRUE
"13",762915,7487015,0.000130919759573844,333870,113.55933121776,-22.7036775361128,TRUE
"14",763540,7488350,0.000168013725945985,155639,113.565186075447,-22.6915321453142,TRUE
"15",761950,7486350,0.00032244681326812,422521,113.550055854916,-22.7098289943437,TRUE
"16",762365,7486795,0.000274927724459053,363152,113.554018213561,-22.7057485282622,TRUE
"17",762055,7488130,2.90934659006074e-05,184734,113.550779542007,-22.6937485721591,TRUE
"18",761220,7483120,7.15211412263938e-05,853903,113.543493947008,-22.7390922763995,TRUE
"19",761635,7484455,0.000108615107598534,675630,113.547308415013,-22.7269798359409,TRUE
"20",763305,7487460,0.000130919759573844,274496,113.563049952395,-22.6996007762052,TRUE
"21",762420,7485605,0.000130919759573844,522147,113.554752611253,-22.7164794371422,TRUE
"22",761375,7481930,2.40020524173267e-05,1012918,113.545201016768,-22.7498077417009,TRUE
"23",763460,7488945,0.000130919759573844,76131,113.564308017995,-22.6861749192509,TRUE
"24",762520,7488280,0.00032244681326812,164787,113.555277160548,-22.6923226656135,TRUE
"25",761065,7481710,0.000274927724459053,1042248,113.542221363001,-22.7518412601194,TRUE
"26",762730,7484045,2.90932925683402e-05,730625,113.558030153942,-22.7305097605752,TRUE
"27",762525,7487385,0.000274927724459053,284360,113.555475699053,-22.7003990527905,TRUE
"28",761950,7485160,6.10960187894674e-05,581505,113.55025494799,-22.7205684826877,TRUE
"29",761535,7481485,0.000130919759573844,1072402,113.546832356444,-22.7537989319097,TRUE
"30",762055,7486515,0.00032244681326812,400498,113.551049632756,-22.7083236091725,TRUE
"31",762470,7482505,2.90932925683402e-05,936317,113.555759127018,-22.7444483095069,TRUE
"32",761300,7480610,0.000130919759573844,1189255,113.544692039087,-22.7617320763203,TRUE
"33",761715,7484620,0.00032244681326812,653602,113.548059113928,-22.7254783356816,TRUE
"34",763385,7487625,0.000168013725945985,252468,113.563800353765,-22.6980992267789,TRUE
"35",763070,7488965,0.000274927724459053,73381,113.560511633862,-22.6860551750274,TRUE
"36",761140,7483285,7.15211412263938e-05,831843,113.54268802306,-22.737615578378,TRUE
"37",762810,7486290,0.000130919759573844,430709,113.558431522796,-22.7102368112697,TRUE
"38",763225,7486735,2.90932925683402e-05,371340,113.562393621156,-22.7061561592825,TRUE
"39",761870,7486400,0.000280019137942334,415825,113.54926929633,-22.7093901666229,TRUE
"40",762330,7487550,0.000108615107598534,262277,113.553551355917,-22.6989402649517,TRUE
"41",761285,7483875,7.15211412263938e-05,753048,113.544000230491,-22.7322684786822,TRUE
"42",762955,7486885,0.000130919759573844,351246,113.559742116192,-22.7048445219978,TRUE
"43",762225,7486215,6.10960187894674e-05,440612,113.552753511911,-22.7110046431596,TRUE
"44",761805,7481650,0.000130919759573844,1050412,113.54943197002,-22.7522679076924,TRUE
"45",762795,7488665,0.000108615107598534,113406,113.55788733242,-22.6888053847434,TRUE
"46",761755,7484325,0.000274927724459053,693022,113.548497608317,-22.7281344389063,TRUE
"47",761025,7482765,7.15211412263938e-05,901292,113.541655942787,-22.7423262907373,TRUE
"48",762690,7485770,0.000130919759573844,500157,113.55735146043,-22.7149483500831,TRUE
"49",761935,7487105,6.61874322727481e-05,321650,113.549783696909,-22.7030176037688,TRUE
"50",761105,7482095,0.000108615107598534,990820,113.542546252336,-22.7483605152619,TRUE
"51",762560,7488445,0.00032244681326812,142751,113.555638575748,-22.6908273633589,TRUE
"52",762460,7484585,0.000130919759573844,658427,113.555312767254,-22.7256784490891,TRUE
"53",761415,7480910,0.000130919759573844,1149198,113.54576090908,-22.759006798664,TRUE
"54",762195,7483245,0.000168013725945985,837398,113.5529593037,-22.7378128158225,TRUE
"55",761780,7486700,6.61874322727481e-05,375727,113.548343686386,-22.7066966849676,TRUE
"56",762095,7487700,0.000280019137942334,242190,113.551240497433,-22.6976230289005,TRUE
