"lon","lat","site","method","dropcode"
113.73403676187,-22.3392221768715,"Yardie","SquidBOSS","S100"
113.749363723858,-22.3117920985778,"Yardie","SquidBOSS","S101"
113.736771790432,-22.3177823950207,"Yardie","SquidBOSS","S102"
113.721938132736,-22.3457899773561,"Yardie","SquidBOSS","S103"
113.744892051477,-22.3138086553642,"Yardie","SquidBOSS","S104"
113.741180267386,-22.3100350848718,"Yardie","SquidBOSS","S105"
113.727974859379,-22.3418519438768,"Yardie","SquidBOSS","S106"
113.747265287175,-22.3086683084237,"Yardie","SquidBOSS","S107"
113.732386094101,-22.3366773913889,"Yardie","SquidBOSS","S108"
113.737698240353,-22.3279670572818,"Yardie","SquidBOSS","S109"
113.755271341973,-22.2989189296061,"Yardie","SquidBOSS","S110"
113.732099152824,-22.3443550470933,"Yardie","SquidBOSS","S111"
113.751300364566,-22.3066591125103,"Yardie","SquidBOSS","S112"
113.743258312343,-22.3121212260539,"Yardie","SquidBOSS","S113"
113.730945458336,-22.3324590739409,"Yardie","SquidBOSS","S114"
113.741953498564,-22.3198160936158,"Yardie","SquidBOSS","S115"
113.724430644198,-22.35170578441,"Yardie","SquidBOSS","S116"
113.725927702298,-22.3363800314511,"Yardie","SquidBOSS","S117"
113.739162963565,-22.3160268947357,"Yardie","SquidBOSS","S118"
113.746163138936,-22.3043992583152,"Yardie","SquidBOSS","S119"
113.735239961191,-22.3262934888149,"Yardie","SquidBOSS","S120"
113.752814318554,-22.2972907112734,"Yardie","SquidBOSS","S121"
113.750248506743,-22.3049618755294,"Yardie","SquidBOSS","S122"
113.743360739905,-22.3223197756537,"Yardie","SquidBOSS","S123"
